# Coordinates of Targets measured with and RTK, real time Corrections Based on the 
# Reference Station 
#
# The Measurments where made by Nikolaos Ves, at 29/06/2016 during his MSc Project.
# Coordinates are in UKGRID
# Eastings/Northing: Meteres
# Height: Meteres
# SD Easting/Northing/Height : Meters


Poin_Id,date,Easting,Northing,OrthoHeight,Sd.Easting,Sd.Northing,Sd.Height
REF,06/29/2016 10:45:53,351362.1200,513094.8287,267.4960,0.0000,0.0000,0.0000
StkdT_12389,06/29/2016 11:12:23,351339.5035,512979.4758,264.6797,0.0039,0.0056,0.0107
StkdT_12388,06/29/2016 11:19:20,351339.2104,513050.6811,265.9339,0.0031,0.0045,0.0082
StkdT_12387,06/29/2016 11:23:20,351213.7483,512973.6016,264.2064,0.0036,0.0051,0.0090
StkdT_12319,06/29/2016 11:34:38,351277.9749,512857.9067,264.1708,0.0032,0.0046,0.0076
StkdT_12383,06/29/2016 11:39:00,351215.9289,512842.2180,263.8180,0.0032,0.0045,0.0073
StkdT_12382,06/29/2016 11:41:29,351216.8362,512911.7630,263.8230,0.0036,0.0050,0.0082
StkdT_12320,06/29/2016 11:57:20,351279.7807,513017.1434,265.6341,0.0039,0.0060,0.0090
StkdT_12381,06/29/2016 12:13:47,351276.8644,512946.8135,263.6397,0.0036,0.0062,0.0093
StkdT_12378,06/29/2016 12:18:16,351392.4394,512941.3966,268.8984,0.0047,0.0093,0.0151
StkdT_12379,06/29/2016 12:21:23,351337.1953,512911.6652,265.5776,0.0042,0.0076,0.0130
StkdT_12380,06/29/2016 12:24:24,351334.0623,512869.8560,265.2801,0.0058,0.0102,0.0175
StkdT_12303,06/29/2016 12:27:36,351396.9209,512896.8447,268.9421,0.0037,0.0064,0.0111
StkdT_12375,06/29/2016 12:39:40,351275.0544,512822.3725,264.7686,0.0079,0.0102,0.0205
StkdT_12376,06/29/2016 12:43:24,351228.5797,512786.2517,264.8728,0.0062,0.0091,0.0179
StkdT_12386,06/29/2016 13:51:11,351098.6926,512844.6080,264.2462,0.0035,0.0041,0.0094
StkdT_12385,06/29/2016 13:53:16,351139.7462,512875.7537,264.3243,0.0041,0.0048,0.0107
StkdT_12384,06/29/2016 13:56:10,351151.3014,512934.8902,264.5266,0.0038,0.0046,0.0100
StkdT_12371,06/29/2016 14:04:29,351034.5909,512805.5356,264.7906,0.0035,0.0044,0.0082
StkdT_12317,06/29/2016 14:09:34,350974.5659,512771.4565,264.8141,0.0035,0.0045,0.0080
StkdT_12362,06/29/2016 14:13:51,350915.5423,512667.3952,265.4401,0.0035,0.0047,0.0078
StkdT_12316,06/29/2016 14:16:27,350964.7669,512638.5739,265.6938,0.0038,0.0051,0.0082
StkdT_12369,06/29/2016 14:19:28,350973.3229,512700.3498,265.1915,0.0040,0.0056,0.0087
StkdT_12373,06/29/2016 14:22:12,351033.6464,512737.7114,265.1048,0.0036,0.0051,0.0078
StkdT_12318,06/29/2016 14:27:41,351095.2521,512770.4325,264.9854,0.0034,0.0051,0.0074
StkdT_12370,06/29/2016 14:30:00,351155.8294,512805.2823,264.4340,0.0033,0.0052,0.0074
StkdT_12372,06/29/2016 14:38:23,351153.9232,512735.5016,265.0946,0.0068,0.0154,0.0191
StkdT_12374,06/29/2016 14:40:54,351094.4564,512700.6114,264.5687,0.0036,0.0080,0.0103
StkdT_12360,06/29/2016 14:43:50,351034.9545,512666.5486,265.2167,0.0036,0.0078,0.0107
StkdT_12361,06/29/2016 14:48:51,351028.2145,512619.1036,266.0281,0.0045,0.0083,0.0137
StkdT_12364,06/29/2016 14:58:27,350973.1824,512575.2414,267.6546,0.0038,0.0072,0.0116
StkdT_12358,06/29/2016 15:01:29,350912.6070,512527.2963,266.8013,0.0040,0.0074,0.0115
StkdT_12356,06/29/2016 15:05:49,350852.6592,512479.8447,266.8651,0.0039,0.0070,0.0114
StkdT_12357,06/29/2016 15:28:43,350828.8420,512441.1416,266.6880,0.0043,0.0064,0.0127
StkdT_12363,06/29/2016 15:46:15,350913.3115,512596.7198,266.0958,0.0030,0.0043,0.0091
StkdT_12366,06/29/2016 15:51:46,350854.0339,512561.5902,266.0881,0.0034,0.0047,0.0102
StkdT_12355,06/29/2016 15:55:03,350792.2652,512526.5811,266.2303,0.0033,0.0046,0.0101
StkdT_12315,06/29/2016 15:59:43,350794.4364,512458.0419,266.6632,0.0031,0.0041,0.0095
StkdT_12353,06/29/2016 16:03:45,350746.8010,512402.0412,267.6369,0.0033,0.0043,0.0102
StkdT_12352,06/29/2016 16:07:50,350731.0807,512493.0413,266.7527,0.0034,0.0047,0.0110
StkdT_12351,06/29/2016 16:11:53,350671.5000,512527.5912,272.2652,0.0034,0.0046,0.0110
StkdT_12367,06/29/2016 16:14:20,350731.3687,512559.8425,269.4815,0.0039,0.0053,0.0124
StkdT_12304,06/29/2016 16:17:20,350805.9269,512596.7029,266.2038,0.0043,0.0059,0.0139
StkdT_12365,06/29/2016 16:21:45,350852.6150,512632.2829,265.7419,0.0035,0.0050,0.0114
